review,label
"iPhone 5s was first released 2 years ago in November 2014.I am still a fan of iPhone 5s, over newer 6 or 6s. It's much cheaper then iphone 6 and 6s, but with all the same features including fingerprint authentication and a powerful 64-Bit processor. If a bigger screen is not your priority then this is a good cheaper iPhone.Now the important Question: Is it original with India Warranty?Answer: YES. I bought it from 'Gadgets_Guru' seller. Took phone to Authorized Apple service center, and got it verified, It had valid 1 year warranty in India.Printed price on box is Rs.35,000 and I got it from amazon for Rs.28,300.UPDATE: Apple has further reduced price of iPhone 5s, and is now available around Rs.21,500. The price keep fluctuating between Gold, Silver and Black color, make sure you check price for all the colors.Side note: The box came with 2.1 Ampere Charger, which comes with iPhone 6s and iPad. Previously iPhones use to ship with 1-Ampere charger, and I believe apple is now putting same 2.1 Ampere Charger with old generation iPhone too. This is a GOOD THING, it charges twice as fast.--One last thing, Please hit YES Button if you found my review HELPFUL",1.0
"FIRSTLY AMAZON DELIVERED THE PRODUCT WELL ON TIME. I HAVE BEEN USING THIS FOR MORE THAN 25 MONTHS NOW. AND I FEEL I HAVE USED IT TO ITS FULLEST. AND I THINK NOW ITS THE RIGHT TIME TO DO THE REVIEW. AS I KNOW ALL THE PROS AND CONS .SO WITHOUT WASTING ANY FURTHER TIME LETS START.I HAVE BASICALLY DIVIDED THIS REVIEW INTO PROS AND CONS SO ITS EASY TO MAKE A RIGHT DECISION.:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::PROS:SPECS ON PAPER ARE NOT THAT GOOD BUT TRUST ME ITS ONE HELL OF AN OPTIMIZED PHONE1]WORKS BRILLIANTLY FOR DAY TO DAY USAGE2]COMPACT FORM FACTOR [it means u can put it in any pocket]3]YOU CAN STILL PLAY GAMES LIKE ASPHALT 8;NBA 2K etc4]TOUCH ID IS STILL VERY RESPONSIVE AND DOESN'T FEEL OLD5]CAMERA IS GOOD IN DAYLIGHT CONDITIONS6]RELIABLE PIECE OF GADGET::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::CONS:1]4.0 inch DISPLAY MEANS STREAMING MEDIA IS NOT VERY PLEASANT (it feels too small in 2016)2]SPEAKER IS NOT THAT LOUD3]CELLULAR QUALITY IS ACCEPTABLE4]DOES NOT SUPPORT VOLTE (can't use JIO)5]CAMERA STRUGGLES IN ARTIFICIAL LIGHTING6]BATTERY LIFE NOT THAT GREAT::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::SPECIFICATIONS:CAMERA: 8MP primary camera with true tone flash, auto focus, geo tagging, face detection burst mode, 1.2MP front facing camera with HD video recording and backside illumination sensorSCREEN: 4-inch multi-touch retina display with 1136 x 640 pixels resolutionPROCESSOR: 1.3 GHZOS: iOS 7 operating systemMEMORY: 16GB internal memory 1GB RAMBATTERY: 1560 MAH Rechargable battery providing talk-time up to 10 hours on 3G network and standby time up to 250 hours::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::WHAT'S IN THE BOX:iPhone 5s with iOS 7,Apple EarPods with Remote and Mic,Lightning to USB Cable and USB Power Adapter:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::FINAL VERDICT:I WOULD RECOMMEND THIS PHONE IF CAN DEAL WITH SMALLER SCREEN SIZE OTHER THAN THAT I DON'T SEE ANY FLAW.ONLY IF YOU WANT TO OWN AN IPHONE BUY THIS OTHERWISE CHECK OUT LENOVO Z2 PLUS [I HAVE DONE A REVIEW IT COULD HELP U] OR ONE PLUS 3. THANK YOU FOR BEING TILL THE END (i hope so) . IF U FOUND THIS REVIEW HELPFUL THEN PLEASE CLICK THE HELPFUL VOTE BUTTON.THANK YOU",1.0
"In the past 4 years I have owned Android and (the now virtually redundant) Blackberry phones prior to buying an iPhone 5s last year. Overall I prefer the iPhone over the others and would recommend it, with a few minor reservations.The iPhone 5s is superior in these areas:1. The design is a work of art, finely sculpted and proportioned; a pleasure to hold and use2. The screen is fantastic; big enough to be really useful but small enough for the phone to be easily pocketable. The Blackberry screen was maybe too small for most applications except for email, and the Android too big and heavy for portable use. I particularly like the long narrow screen on the 5s3. A lot of thought has gone into the way a user can navigate around the screen through the different functions. I have owned an iPod Touch for a couple of years and have become a fan of Apple's clear and simple graphics: on the 5s, it's even better. The software never crashes, which it did with both my Android phones frequently4. For a user with larger than average hands/fingers, the on-screen keypad of the 5s is really well designed - especially true if you use the phone in landscape format which has the effect of widening the keypad. In comparison, the Android was frustrating and not very user-friendly and the Blackberry Storm completely hopeless - though the permanent keypad on the Curve was great5. The ring tone & speaker volume is louder and clearer on the iPhone than any of its rivals6. Phone reception is the best. I don't know how Apple manage this, but I have made and received calls in locations where other phones don't seem to work - like travelling on the London underground and in deep underground car parks7. The camera is so good it's up to the standard of a dedicated Canon or Nikon compact, for the first time on a cellphone8. The memory (64GB) is vast, with a storage capacity so huge you're never likely to need more no matter what you download and store on it9. Siri, iMessage and Facetime are genuinely useful apps, not just gimmicks. They actually work well. The fingerprint scanner works too, though how much of a real security feature this is remains doubtfulGripes: very few -1. The battery life isn't great, but no worse than the Android Galaxy 4 and you can substantially improve it on the 5s by turning off power-hungry applications2. The unique nano-SIM means you can't swap the SIM over to another phone in an emergency, or for example if the phone is damaged and needs repairOverall I have become a reluctant Apple convert. It's easy to see why they have become market leader with such an excellent product. Of course in another 2 or 3 years the tech will have moved on again, there may be a new market-leading manufacturer and the 5s will be an antique. But until then, except the 64 bit architecture the 5s for me is the King of cellphones in 20k budget.(ignoring unreliable Chinese brandsFinally, a lot of reviews posted on amazon are from buyers who are unable to transfer their data from android. This must be very frustrating but these are not really product reviews, they are complaints. The solution is easy: buy from an Apple store and they'll set up the new iPhone for you and transfer all the data from your old phone or search on you tube and learn the way to do it.Tip- Please buy from amazon fulfilled seller for genuine phones.Thanks for your time.",1.0
"iPhone 5s was first released 2 years ago in November 2014.I am still a fan of iPhone 5s, over newer 6 or 6s. It's much cheaper then iphone 6 and 6s, but with all the same features including fingerprint authentication and a powerful 64-Bit processor. If a bigger screen is not your priority then this is a good cheaper iPhone.Now the important Question: Is it original with India Warranty?Answer: YES. I bought it from 'Gadgets_Guru' seller. Took phone to Authorized Apple service center, and got it verified, It had valid 1 year warranty in India.Printed price on box is Rs.35,000 and I got it from amazon for Rs.28,300.UPDATE: Apple has further reduced price of iPhone 5s, and is now available around Rs.21,500. The price keep fluctuating between Gold, Silver and Black color, make sure you check price for all the colors.Side note: The box came with 2.1 Ampere Charger, which comes with iPhone 6s and iPad. Previously iPhones use to ship with 1-Ampere charger, and I believe apple is now putting same 2.1 Ampere Charger with old generation iPhone too. This is a GOOD THING, it charges twice a......s fast.--One last thing,[...]",1.0
I had returned the i phone on the very fourth day of my purchase as there if flow of electricity near the charging port during charging and it is also giving mild electrical shock when touched there bare foot. When tested with a tester the light in it glowing brightly so much electricity the rear body is pumping out. Please see the photo attached. This is the quality of the so called i phone. Beware every one.Also this is a genuine product as I verified from apple site. Apple should not deliver to this country such third grade products without testing their quality.The plus point is service of Amazon is excellent.,0.0
"I have not purchased this phone from Amazon but from some other e-commerce site.To all those who have bought this phone online and are worried about the text printed behind the phone, please do not worry, the ""self declaration - confirming to IS 13252 (Part 1):2010, R-4******** is being printed on all the mobile phones manufactured and sold after May 2015.It has been mandatory by the BIS (The Bureau of Indian Standards)I have a moto g3 phone and when I open the back casing the same thing is printed on it too. Same on my iPhone 6 as well.But it was not printed on my iPhone 4 because it was manufactured in 2013.Please do not worry, these Apple phones come with genuine Apple warranty for 12 months and 4 months of phone support. Buy online from a trusted seller :)The phone manufacturing month and import month is November 2015 and comes with ios 9.1 pre installed. I updated it to ios 9.2. Checked the warranty on the Apple support site and its valid till 24th December 2016 and the apple phone support till March 2016",1.0
"I switched from iPhone 4 to 5s and this phone is really really great for the price it is being sold at right now. Would totally recommend it to peeps who wanna use an iPhone but have a low budget. The camera, processing speed, game play, body weight and size is great for a correctly sized (mostly known as small sized) phone. Before opening the box I checked the IMEI number on apple's website and the phone was showing as not activated, and after setting up my phone I checked it again and it was showing me a years date for limited warranty from the day I started using it, hence it's a brand new, untouched, sealed pack phone. Thanks to the seller for that.",1.0
"I am still a fan of iPhone 5s, over newer 6 or 6s. It's much cheaper then iphone 6 and 6s, but with all the same features including fingerprint authentication and a powerful 64-Bit processor. If a bigger screen is not your priority then this is a good cheaper iPhone.Now the important Question: Is it original with India Warranty?Answer: YES. I bought it from 'Gadgets_Guru' seller. Took phone to Authorized Apple service center, and got it verified, It had valid 1 year warranty in India.Printed price on box is Rs.35,000 and I got it from amazon for Rs.28,300.UPDATE: Apple has further reduced price of iPhone 5s, and is now available around Rs.21,500. The price keep fluctuating between Gold, Silver and Black color, make sure you check price for all the colors.Side note: The box came with 2.1 Ampere Charger, which comes with iPhone 6s and iPad. Previously iPhones use to ship with 1-Ampere charger, and I believe apple is now putting same 2.1 Ampere Charger with old generation iPhone too. This is a GOOD THING, it charges twice as fast.--One last thing, Please hit YES Button if you found my review HELPFUL",1.0
"Awesome product, great looks,right weight, nice camera, flash is average,value for money. But the product has one serious issue. EarPods are not working, Amazon 's replacement policy is not customer friendly. They will collect the product and later, send a replacement.",1.0
"Really pathetic service , I got a faulty handset , I went to service centre but it won't accept by service peopleVERY BAADDD",0.0
